City,Body_type,Transmission,No_of_owners,color,Milleage,Fuel_type,Make_year,Price,Make_Model
Hyderabad,hatchback,manual,1,grey,36,petrol,2016,3.22,Renault-Kwid
Hyderabad,sedan,manual,1,white,76,petrol,2014,3.85,Hyundai-Xcent
Hyderabad,hatchback,manual,1,white,49,petrol,2022,4.30411,Renault-Kwid
Hyderabad,suv,manual,2,red,96,petrol,2015,7.65927,Hyundai-Creta
Hyderabad,hatchback,manual,1,white,72,diesel,2016,6.69901,Hyundai-Elite i20
Hyderabad,hatchback,manual,1,grey,47,petrol,2014,4.66931,Hyundai-Grand i10
Hyderabad,hatchback,manual,1,blue,80,petrol,2018,3.54,Renault-Kwid
Hyderabad,hatchback,manual,1,white,8,petrol,2021,4.2,Maruti Suzuki-Alto 800
Hyderabad,hatchback,manual,1,silver,65,petrol,2015,4.35,Hyundai-Grand i10
Hyderabad,hatchback,automatic,1,grey,71,petrol,2018,4.82671,Maruti Suzuki-Celerio
Hyderabad,hatchback,manual,2,red,73,petrol,2015,2.72,Hyundai-Eon
Hyderabad,hatchback,manual,1,blue,16,petrol,2022,7.78,Hyundai-Grand i10 Nios
Hyderabad,hatchback,manual,2,grey,46,petrol,2018,3.39,Hyundai-Eon
Hyderabad,suv,manual,1,grey,58,diesel,2017,10.99695,Hyundai-Creta
Hyderabad,hatchback,manual,1,grey,16,petrol+cng,2022,6.25,Hyundai-New Santro 1.1
Hyderabad,hatchback,manual,2,white,69,petrol,2017,3.58,Renault-Kwid
Hyderabad,suv,manual,1,red,35,diesel,2019,13.3,Mahindra-XUV500
Hyderabad,hatchback,manual,1,grey,10,petrol,2022,5.97,Maruti Suzuki-Wagon R 1.2
Hyderabad,suv,manual,1,white,61,diesel,2019,13.27916,Mahindra-XUV500
Hyderabad,suv,manual,1,black,79,petrol,2019,10.95,Hyundai-Creta
Hyderabad,hatchback,manual,1,grey,21,petrol,2019,5.84,Hyundai-Grand i10
Hyderabad,muv,manual,1,red,36,petrol,2020,6.44,Renault-Triber
Hyderabad,hatchback,manual,1,grey,27,petrol,2015,4.21226,Honda-Brio
Hyderabad,hatchback,manual,1,grey,40,petrol,2016,4.85,Hyundai-Grand i10
Hyderabad,suv,automatic,1,blue,8,petrol,2022,14.13,Maruti Suzuki-Brezza
Hyderabad,hatchback,manual,2,silver,50,petrol,2015,2.58,Maruti Suzuki-Alto 800
Hyderabad,suv,manual,1,blue,21,petrol,2022,18.90623,Mahindra-XUV700
Hyderabad,suv,manual,2,black,74,diesel,2018,7.99,Mahindra-TUV300
Hyderabad,hatchback,manual,2,grey,102,petrol+cng,2012,3.17,Maruti Suzuki-Wagon R 1.0
Hyderabad,hatchback,manual,1,white,20,petrol,2014,3.09692,Maruti Suzuki-Alto K10
Hyderabad,hatchback,manual,1,red,53,petrol,2011,2.99,Hyundai-i10
Hyderabad,suv,manual,1,white,112,diesel,2015,8.47,Hyundai-Creta
Hyderabad,hatchback,automatic,1,white,59,petrol,2015,3.95,Maruti Suzuki-Celerio
Hyderabad,hatchback,automatic,1,grey,72,petrol,2016,4.26287,Maruti Suzuki-Wagon R 1.0
Hyderabad,hatchback,manual,1,brown,37,petrol,2016,4.29,Maruti Suzuki-Ritz
Hyderabad,hatchback,manual,1,red,48,petrol,2011,3.0692,Hyundai-i10
Hyderabad,hatchback,manual,1,silver,71,petrol+cng,2012,3.34738,Maruti Suzuki-Wagon R 1.0
