City,Body_type,Transmission,No_of_owners,color,Milleage,Fuel_type,Make_year,Price,Make_Model
Bangalore,hatchback,automatic,1,white,57,petrol,2017,6.95,Maruti Suzuki-Baleno
Bangalore,hatchback,manual,2,white,33,petrol,2016,3.94791,Ford-Figo
Pune,hatchback,manual,1,silver,68,petrol,2017,5.57,Volkswagen-Polo
Pune,sedan,manual,1,brown,78,petrol,2019,5.59,Tata-Tigor
Pune,hatchback,manual,1,white,38,petrol,2018,2.62,Datsun-Redi-GO
Kolkata,hatchback,manual,1,silver,14,petrol,2022,4.98,Hyundai-New Santro 1.1
Delhi,sedan,manual,1,white,61,petrol,2016,4.31,Maruti Suzuki-Swift Dzire
Hyderabad,hatchback,manual,2,grey,33,petrol,2016,3.92101,Maruti Suzuki-Wagon R 1.0
Pune,hatchback,automatic,1,brown,5,petrol,2017,3.94,Renault-Kwid
Delhi,hatchback,manual,1,grey,73,petrol,2013,2.47,Maruti Suzuki-Wagon R 1.0
Chennai,suv,manual,1,white,55,diesel,2019,7.55259,Ford-EcoSport
Bangalore,hatchback,manual,1,blue,33,petrol,2020,6.39,Maruti Suzuki-Ignis
Bangalore,suv,manual,1,GRAVITY GREY,49,petrol,2019,14.15,Kia-Seltos
Chennai,hatchback,manual,1,grey,51,petrol,2019,3.94,Renault-Kwid
Pune,suv,automatic,1,white,53,diesel,2018,26.9,BMW-X1
Delhi,suv,automatic,1,white,22,petrol,2021,10.95081,Hyundai-Venue
Kolkata,hatchback,manual,1,GREY,86,diesel,2014,3.24,Maruti Suzuki-Swift
Kolkata,crossover,manual,1,white,11,petrol,2018,5.36479,Hyundai-i20 Active
Hyderabad,hatchback,manual,1,white,60,petrol,2018,3.70231,Hyundai-Eon
Hyderabad,hatchback,manual,2,brown,123,diesel,2012,3.03,Maruti Suzuki-Ritz
Delhi,hatchback,automatic,1,brown,34,petrol,2021,8.8684,Honda-Jazz
Bangalore,hatchback,manual,1,grey,43,petrol,2019,4.16,Maruti Suzuki-Alto K10
Delhi,hatchback,manual,1,blue,24,petrol,2020,6.61,Hyundai-Grand i10 Nios
Bangalore,hatchback,manual,1,red,51,petrol,2014,3.67264,Hyundai-i10
Bangalore,hatchback,manual,2,beige,42,petrol,2011,2.26,Maruti Suzuki-Alto K10
Bangalore,hatchback,automatic,1,red,24,petrol,2021,8.15,Maruti Suzuki-Swift
Bangalore,suv,manual,1,white,103,petrol,2016,7.29,Hyundai-Creta
Bangalore,hatchback,automatic,1,red,73,petrol,2015,5.24,Hyundai-Grand i10
Bangalore,sedan,manual,1,white,97,petrol,2014,3.89,Honda-Amaze
Pune,hatchback,manual,1,M G GREY,25,petrol,2012,3.0,Maruti Suzuki-Wagon R 1.0
Bangalore,hatchback,manual,2,white,23,diesel,2016,5.26,Ford-Figo
Delhi,hatchback,automatic,1,white,2,petrol,2022,11.90152,Hyundai-i20 N Line
Bangalore,hatchback,automatic,1,red,10,petrol,2021,4.17,Datsun-Redi-GO
Bangalore,suv,manual,1,brown,22,petrol,2021,9.17413,Honda-WR-V
Bangalore,hatchback,manual,1,grey,116,petrol,2012,2.85,Maruti Suzuki-Wagon R 1.0
Hyderabad,hatchback,manual,1,red,94,petrol,2021,4.72,Maruti Suzuki-Celerio
Bangalore,suv,manual,1,DENIM BLUE,27,diesel,2022,11.26,Hyundai-Venue
Pune,hatchback,manual,1,white,58,petrol,2011,3.19,Maruti Suzuki-Swift
Bangalore,hatchback,manual,2,silver,32,petrol,2016,4.15,Hyundai-i10
Pune,suv,automatic,1,grey,82,petrol,2021,8.99343,Maruti Suzuki-Vitara Brezza
Chennai,muv,manual,1,white,11,petrol,2022,9.6868,Kia-Carens
Pune,suv,manual,2,silver,93,petrol,2016,7.14799,Hyundai-Creta
Delhi,sedan,manual,1,red,26,petrol,2014,3.87194,Honda-Amaze
Pune,hatchback,manual,1,grey,14,petrol+cng,2022,7.68,Hyundai-Grand i10 Nios
Bangalore,sedan,manual,1,blue,17,petrol,2019,9.74583,Hyundai-Verna
Delhi,hatchback,manual,1,silver,28,petrol,2017,5.93404,Hyundai-Elite i20
Bangalore,sedan,automatic,1,silver,33,petrol,2014,5.48,Hyundai-Xcent
Chennai,suv,manual,1,red,22,petrol,2020,11.70493,Hyundai-Creta
Chennai,suv,manual,2,white,115,diesel,2017,8.44,Hyundai-Creta
Bangalore,hatchback,manual,1,blue,13,petrol,2022,6.7,Maruti Suzuki-Ignis
Bangalore,suv,automatic,1,black,19,diesel,2022,23.95,Tata-Safari
Kolkata,sedan,manual,1,white,21,petrol,2018,9.31941,Hyundai-Elantra
Bangalore,sedan,automatic,2,white,75,diesel,2017,5.62,Tata-Zest
Hyderabad,hatchback,manual,1,grey,11,petrol,2021,5.26565,Maruti Suzuki-Ignis
Bangalore,hatchback,automatic,1,white,84,petrol,2015,4.04,Maruti Suzuki-Celerio
Pune,sedan,automatic,1,SUPERWHITE,69,petrol,2015,8.59,Toyota-Corolla Altis
Delhi,hatchback,automatic,1,silver,69,petrol,2016,4.72,Hyundai-Grand i10
Pune,hatchback,manual,1,silver,39,petrol+cng,2020,4.97,Hyundai-New Santro 1.1
Hyderabad,hatchback,manual,1,white,138,diesel,2015,5.24,Hyundai-Elite i20
Bangalore,hatchback,automatic,1,silver,60,petrol,2016,3.82,Maruti Suzuki-Alto K10
Delhi,suv,manual,1,blue,13,petrol+cng,2022,7.59,Tata-Punch
Delhi,hatchback,automatic,1,grey,20,petrol,2022,6.75,Maruti Suzuki-Swift
Delhi,suv,manual,1,green,20,petrol,2020,7.74,Tata-Nexon
Pune,sedan,manual,1,blue,62,petrol,2017,5.06,Volkswagen-Ameo
Bangalore,sedan,automatic,1,brown,43,petrol,2015,5.01523,Honda-Amaze
Bangalore,hatchback,automatic,1,red,43,petrol,2015,4.27958,Maruti Suzuki-Celerio
Chennai,suv,automatic,1,grey,78,diesel,2017,12.17064,Tata-Hexa
Delhi,sedan,automatic,2,grey,25,petrol,2016,6.92,Honda-City
Hyderabad,hatchback,manual,1,brown,104,diesel,2015,4.01,Maruti Suzuki-Ritz
Kolkata,sedan,automatic,1,brown,35,petrol,2018,5.7633,Maruti Suzuki-Dzire
Pune,hatchback,automatic,1,white,61,petrol,2016,4.07,Maruti Suzuki-Wagon R 1.0
Bangalore,sedan,automatic,1,red,81,petrol,2017,6.28436,Maruti Suzuki-Dzire
Chennai,sedan,manual,1,red,33,diesel,2016,7.29,Maruti Suzuki-Ciaz
Hyderabad,suv,manual,1,white,27,petrol,2022,11.54,Maruti Suzuki-Vitara Brezza
Pune,muv,manual,1,grey,79,petrol,2014,6.43868,Maruti Suzuki-Ertiga
Bangalore,suv,automatic,2,orange,67,diesel,2016,7.78,Renault-Duster
Bangalore,sedan,automatic,1,blue,58,diesel,2016,7.49,Skoda-Rapid New
