iter	RMSE
0	3.937780844
1	3.782823764
2	3.637139531
3	3.50466177
4	3.371763641
5	3.243588195
6	3.120164862
7	3.006262329
8	2.89458022
9	2.790705923
10	2.695702269
11	2.607031628
12	2.523676971
13	2.434448409
14	2.356341798
15	2.285549383
16	2.215833246
17	2.149798931
18	2.084004985
19	2.026740994
20	1.970779393
21	1.917386449
22	1.869346168
23	1.822388782
24	1.77778357
25	1.734191066
26	1.692487639
27	1.657986527
28	1.620604974
29	1.585647172
30	1.553050212
31	1.522845937
32	1.493441935
33	1.468164407
34	1.443671
35	1.420054465
36	1.398177897
37	1.375541783
38	1.354421752
39	1.334485145
40	1.315699367
41	1.298506105
42	1.282396221
43	1.266459175
44	1.252867206
45	1.239682212
46	1.226993653
47	1.21458431
48	1.203228039
49	1.19093774
50	1.181386109
51	1.17023449
52	1.16024743
53	1.151377112
54	1.142802159
55	1.135425135
56	1.128390684
57	1.120252191
58	1.114522478
59	1.106460239
60	1.101015553
61	1.094141011
62	1.089073287
63	1.082891915
64	1.0770352
65	1.072415477
66	1.068458174
67	1.063073786
68	1.058983975
69	1.055002478
70	1.051119202
71	1.046413061
72	1.041708098
73	1.037965073
74	1.034803049
75	1.030754666
76	1.027013918
77	1.023970901
78	1.020862536
79	1.018632782
80	1.015516344
81	1.0127313
82	1.009551323
83	1.007229421
84	1.004875868
85	1.00035424
86	0.9970174703
87	0.9947529172
88	0.9910299386
89	0.9881741456
90	0.9847130786
91	0.9822493859
92	0.9802481999
93	0.9775362801
94	0.975475298
95	0.97355956
96	0.9716369909
97	0.9697947197
98	0.9675402722
99	0.9661386466
100	0.963645839
101	0.9618882351
102	0.9598815524
103	0.9588089323
104	0.9576716485
105	0.9553051082
106	0.9538319202
107	0.9523319213
108	0.9509256378
109	0.9498422634
110	0.9482547645
111	0.9471945172
112	0.9452530674
113	0.94390599
114	0.9418997636
115	0.9405417465
116	0.9394098728
117	0.9369437352
118	0.9338639095
119	0.932541528
120	0.9309180578
121	0.9296501582
122	0.9284668695
123	0.9280977259
124	0.9268320983
125	0.9257076388
126	0.9244994492
127	0.9228574732
128	0.9219356059
129	0.9206745586
130	0.916983967
131	0.916006941
132	0.9148199066
133	0.91432224
134	0.9126028198
135	0.9112641759
136	0.9104408237
137	0.9103289288
138	0.9097299902
139	0.906959982
140	0.9060203915
141	0.9044634938
142	0.9032330072
143	0.901904702
144	0.9010626659
145	0.9009794349
146	0.900589459
147	0.9000494636
148	0.8970320925
149	0.8967101067
150	0.8958171048
151	0.8953638411
152	0.8937026238
153	0.8930529381
154	0.8926258676
155	0.89107416
156	0.8902342724
157	0.8896268233
158	0.8890142136
159	0.8876761025
160	0.8859561867
161	0.8852429526
162	0.8832396309
163	0.8819591737
164	0.8803055139
165	0.8792879763
166	0.8783931718
167	0.8764892656
168	0.8755624391
169	0.8741541307
170	0.8733443898
171	0.8708497763
172	0.8702161685
173	0.8689648112
174	0.8685072163
175	0.8683426398
176	0.867277732
177	0.8669162748
178	0.8661413554
179	0.8660712941
180	0.865907612
181	0.8651035686
182	0.8642470995
183	0.8635802619
184	0.8632045856
185	0.8620098596
186	0.8617721326
187	0.8602764946
188	0.8595455985
189	0.8594865226
190	0.8594279446
191	0.8589927684
192	0.8587883211
193	0.8586253428
194	0.8581536356
195	0.8580834415
196	0.8574812699
197	0.8568290134
198	0.856789394
199	0.8562792959
200	0.8560424566
201	0.8557690252
202	0.8552118057
203	0.8544002848
204	0.8542602525
205	0.8537358314
206	0.8536794322
207	0.852633579
208	0.8521234506
209	0.8517917181
210	0.8500437231
211	0.8490787372
212	0.8490314397
213	0.8487446165
214	0.8477033728
215	0.8467551266
216	0.8460869363
217	0.8443510875
218	0.8443116849
219	0.8435833427
220	0.843377664
221	0.8433291708
222	0.8419886335
223	0.8418606815
224	0.8411526603
225	0.8398674834
226	0.8397258727
227	0.8394661187
228	0.8393005568
229	0.8392555123
230	0.8382350693
231	0.837674757
232	0.8371122981
233	0.8359732158
234	0.833508171
235	0.8332385436
236	0.832803861
237	0.8324791333
238	0.8317063353
239	0.8301254326
240	0.8274983062
241	0.8270017726
242	0.8265426486
243	0.8261425445
244	0.8255062934
245	0.8251577339
246	0.8248079494
247	0.8241424027
248	0.8230568407
249	0.8220243671
250	0.8217489712
251	0.8201623737
252	0.818485703
253	0.8184517858
254	0.8172281842
255	0.8156747702
256	0.8154451882
257	0.8154162211
258	0.8149121043
259	0.8138113006
260	0.8134849458
261	0.8122544097
262	0.811055324
263	0.8102092162
264	0.8088129634
265	0.8087858935
266	0.808484572
267	0.8084381618
268	0.8084078818
269	0.8066423943
270	0.8056273047
271	0.8045875376
272	0.8034734782
273	0.8024142472
274	0.8016675335
275	0.8010781896
276	0.7983759659
277	0.7958488795
278	0.793579809
279	0.7935498828
280	0.7935228459
281	0.7908518157
282	0.7898917148
283	0.7891144649
284	0.7873754675
285	0.7866684751
286	0.7859873668
287	0.7852415098
288	0.7843134808
289	0.7838811456
290	0.7825929212
291	0.7815188773
292	0.7807029796
293	0.7806752417
294	0.7794337171
295	0.7791501129
296	0.7784301452
297	0.7776983452
298	0.7774275792
299	0.7762852989
300	0.7756606203
301	0.7747733667
302	0.774512477
303	0.7732683102
304	0.7730267809
305	0.7724649275
306	0.7716131454
307	0.7715898536
308	0.7702465932
309	0.7689411077
310	0.7679501004
311	0.7672828109
312	0.766209443
313	0.7661857433
314	0.7652315243
315	0.7640204271
316	0.7632503092
317	0.7632280759
318	0.7623168351
319	0.7605704976
320	0.7592310267
321	0.7580135714
322	0.7571190305
323	0.7565742692
324	0.7544217588
325	0.7533165261
326	0.752232668
327	0.7513136942
328	0.7507338418
329	0.7500455575
330	0.7489949558
331	0.7481359771
332	0.7474766363
333	0.7467119495
334	0.7447304854
335	0.7447088762
336	0.7444281293
337	0.7432985414
338	0.7426224613
339	0.7421716995
340	0.7412948877
341	0.7395538387
342	0.7391045795
343	0.7372624988
344	0.7366824583
345	0.7359851456
346	0.7351610057
347	0.7346383738
348	0.7341942905
349	0.733816539
