iter	Passed	Remaining
0	137	137653
1	139	69523
2	141	46970
3	142	35545
4	144	28777
5	146	24253
6	147	20968
7	150	18620
8	152	16802
9	159	15784
10	162	14605
11	167	13819
12	170	12960
13	173	12204
14	175	11496
15	176	10868
16	179	10376
17	181	9889
18	182	9427
19	183	9014
20	185	8642
21	187	8315
22	190	8102
23	192	7839
24	194	7589
25	196	7348
26	197	7126
27	199	6918
28	200	6724
29	202	6546
30	204	6376
31	205	6216
32	207	6066
33	208	5924
34	210	5790
35	211	5662
36	212	5542
37	214	5427
38	216	5327
39	218	5242
40	220	5160
41	222	5071
42	223	4981
43	225	4897
44	226	4815
45	229	4769
46	232	4710
47	233	4640
48	235	4577
49	237	4520
50	239	4463
51	241	4402
52	242	4339
53	244	4278
54	245	4222
55	247	4167
56	248	4115
57	250	4072
58	253	4037
59	254	3991
60	256	3942
61	257	3897
62	259	3856
63	260	3815
64	262	3773
65	263	3734
66	266	3711
67	268	3681
68	270	3643
69	271	3607
70	273	3574
71	274	3542
72	276	3510
73	278	3485
74	281	3468
75	282	3438
76	284	3405
77	285	3374
78	287	3350
79	288	3322
80	290	3294
81	292	3271
82	295	3259
83	296	3233
84	297	3207
85	299	3182
86	301	3158
87	302	3134
88	303	3110
89	305	3088
90	307	3069
91	309	3056
92	311	3037
93	313	3018
94	314	2997
95	316	2978
96	317	2957
97	319	2937
98	321	2927
99	324	2921
100	325	2899
101	327	2879
102	328	2859
103	329	2842
104	331	2822
105	332	2803
106	333	2784
107	335	2773
108	338	2764
109	339	2747
110	340	2729
111	342	2712
112	343	2693
113	344	2678
114	345	2662
115	347	2645
116	348	2633
117	351	2629
118	353	2615
119	354	2599
120	355	2583
121	357	2569
122	358	2555
123	359	2539
124	360	2524
125	361	2509
126	363	2498
127	366	2495
128	367	2483
129	368	2469
130	370	2455
131	371	2442
132	372	2430
133	374	2417
134	375	2404
135	376	2392
136	379	2387
137	380	2376
138	381	2365
139	383	2353
140	384	2341
141	385	2329
142	386	2318
143	388	2306
144	389	2294
145	389	2280
146	391	2270
147	394	2269
148	395	2259
149	396	2248
150	397	2237
151	399	2226
152	400	2217
153	401	2207
154	402	2196
155	404	2187
156	406	2183
157	408	2178
158	410	2168
159	411	2159
160	412	2149
161	413	2139
162	414	2130
163	416	2121
164	417	2112
165	419	2105
166	420	2098
167	422	2094
168	424	2086
169	425	2078
170	426	2069
171	428	2061
172	429	2053
173	430	2044
174	431	2036
175	433	2029
176	435	2025
177	437	2021
178	439	2013
179	439	2003
180	440	1994
181	441	1986
182	443	1979
183	444	1971
184	445	1963
185	446	1956
186	448	1949
187	450	1945
188	452	1940
189	453	1931
190	454	1923
191	455	1916
192	456	1909
193	458	1902
194	459	1896
195	460	1888
196	461	1882
197	463	1879
198	465	1873
199	466	1867
200	468	1860
201	469	1854
202	470	1847
203	471	1841
204	473	1835
205	474	1828
