Id,City,Make,Model,Body_type,Transmission,No_of_owners,color,Milleage,Fuel_type,Make_year,Price
13387215,Hyderabad,Renault,Kwid,hatchback,manual,1,grey,36K,petrol,2016,322000.0
13090943,Hyderabad,Hyundai,Xcent,sedan,manual,1,white,76K,petrol,2014,385000.0
12677849,Hyderabad,Renault,Kwid,hatchback,manual,1,white,49K,petrol,2022,430411.0
12385794,Hyderabad,Hyundai,Creta,suv,manual,2,red,96K,petrol,2015,765927.0
12961434,Hyderabad,Hyundai,Elite i20,hatchback,manual,1,white,72K,diesel,2016,669901.0
11344227,Hyderabad,Hyundai,Grand i10,hatchback,manual,1,grey,47K,petrol,2014,466931.0
11976569,Hyderabad,Renault,Kwid,hatchback,manual,1,blue,80K,petrol,2018,354000.0
12058896,Hyderabad,Maruti Suzuki,Alto 800,hatchback,manual,1,white,8K,petrol,2021,420000.0
13021989,Hyderabad,Hyundai,Grand i10,hatchback,manual,1,silver,65K,petrol,2015,435000.0
11783439,Hyderabad,Maruti Suzuki,Celerio,hatchback,automatic,1,grey,71K,petrol,2018,482671.0
12482796,Hyderabad,Hyundai,Eon,hatchback,manual,2,red,73K,petrol,2015,272000.0
12344858,Hyderabad,Hyundai,Grand i10 Nios,hatchback,manual,1,blue,16K,petrol,2022,778000.0
13098314,Hyderabad,Hyundai,Eon,hatchback,manual,2,grey,46K,petrol,2018,339000.0
11702737,Hyderabad,Hyundai,Creta,suv,manual,1,grey,58K,diesel,2017,1099695.0
12374940,Hyderabad,Hyundai,New Santro 1.1,hatchback,manual,1,grey,16K,petrol+cng,2022,625000.0
11864622,Hyderabad,Renault,Kwid,hatchback,manual,2,white,69K,petrol,2017,358000.0
10010106,Hyderabad,Mahindra,XUV500,suv,manual,1,red,35K,diesel,2019,1330000.0
12494061,Hyderabad,Maruti Suzuki,Wagon R 1.2,hatchback,manual,1,grey,10K,petrol,2022,597000.0
12813601,Hyderabad,Mahindra,XUV500,suv,manual,1,white,61K,diesel,2019,1327916.0
12151000,Hyderabad,Hyundai,Creta,suv,manual,1,black,79K,petrol,2019,1095000.0
13030408,Hyderabad,Hyundai,Grand i10,hatchback,manual,1,grey,21K,petrol,2019,584000.0
9263534,Hyderabad,Renault,Triber,muv,manual,1,red,36K,petrol,2020,644000.0
12193473,Hyderabad,Honda,Brio,hatchback,manual,1,grey,27K,petrol,2015,421226.0
12528966,Hyderabad,Hyundai,Grand i10,hatchback,manual,1,grey,40K,petrol,2016,485000.0
11014742,Hyderabad,Maruti Suzuki,Brezza,suv,automatic,1,blue,8K,petrol,2022,1413000.0
12846063,Hyderabad,Maruti Suzuki,Alto 800,hatchback,manual,2,silver,50K,petrol,2015,258000.0
13357047,Hyderabad,Mahindra,XUV700,suv,manual,1,blue,21K,petrol,2022,1890623.0
12510808,Hyderabad,Mahindra,TUV300,suv,manual,2,black,74K,diesel,2018,799000.0
11695360,Hyderabad,Maruti Suzuki,Wagon R 1.0,hatchback,manual,2,grey,102K,petrol+cng,2012,317000.0
13043726,Hyderabad,Maruti Suzuki,Alto K10,hatchback,manual,1,white,20K,petrol,2014,309692.0
11201684,Hyderabad,Hyundai,i10,hatchback,manual,1,red,53K,petrol,2011,299000.0
11689765,Hyderabad,Hyundai,Creta,suv,manual,1,white,112K,diesel,2015,847000.0
13091566,Hyderabad,Maruti Suzuki,Celerio,hatchback,automatic,1,white,59K,petrol,2015,395000.0
12104287,Hyderabad,Maruti Suzuki,Wagon R 1.0,hatchback,automatic,1,grey,72K,petrol,2016,426287.0
12586364,Hyderabad,Maruti Suzuki,Ritz,hatchback,manual,1,brown,37K,petrol,2016,429000.0
12657216,Hyderabad,Hyundai,i10,hatchback,manual,1,red,48K,petrol,2011,306920.0
12620127,Hyderabad,Maruti Suzuki,Wagon R 1.0,hatchback,manual,1,silver,71K,petrol+cng,2012,334738.0
11278259,Hyderabad,Renault,Kwid,hatchback,manual,2,white,91K,petrol,2016,268000.0
13115342,Hyderabad,Renault,Kwid,hatchback,manual,1,grey,25K,petrol,2017,330000.0
